idUsuarioEstablecimientoDetalle,idEstablecimiento,username
1,E03,JGUZMAN
6,E04,YHUIMAN
7,E05,RGAMARRA
12,E06,WREYES
19,E07,RRABANAL
21,E08,JGUTIERREZ
23,E09,SMIRANDA
25,E10,HARANDA
26,E11,MMONZON
27,E12,EFUENTES
13,E13,WREYES
8,E14,RGAMARRA
9,E16,RGAMARRA
28,E19,MJIMENEZ
29,E20,JVIGO
22,E22,JGUTIERREZ
2,E23,JGUZMAN
24,E25,SMIRANDA
14,E26,WREYES
3,E27,JGUZMAN
20,E28,RRABANAL
15,E29,WREYES
16,E30,WREYES
17,E31,WREYES
10,E32,RGAMARRA
18,E33,WREYES
4,E34,JGUZMAN
11,E35,RGAMARRA
5,E36,JGUZMAN
30,E24,JGUZMAN
31,E01,ADMIN
32,E02,ADMIN
33,E03,ADMIN
34,E04,ADMIN
35,E05,ADMIN
36,E06,ADMIN
37,E07,ADMIN
38,E08,ADMIN
39,E09,ADMIN
40,E10,ADMIN
41,E11,ADMIN
42,E12,ADMIN
43,E13,ADMIN
44,E14,ADMIN
45,E15,ADMIN
46,E16,ADMIN
47,E17,ADMIN
48,E18,ADMIN
49,E19,ADMIN
50,E20,ADMIN
51,E21,ADMIN
52,E22,ADMIN
53,E23,ADMIN
54,E24,ADMIN
55,E25,ADMIN
56,E26,ADMIN
57,E27,ADMIN
58,E28,ADMIN
59,E29,ADMIN
60,E30,ADMIN
61,E31,ADMIN
62,E32,ADMIN
63,E33,ADMIN
64,E34,ADMIN
65,E35,ADMIN
66,E36,ADMIN
