codigoPatrimonial,serie,idModelo,indicacion,usuario,fechaRegistro,fechaIngreso,fechaGarantia,estado
00543576,MXJ614078P,C0004,,admin,2014-01-10,0009-05-25,NULL,1
00543600,MXJ614074K,C0004,,admin,2014-01-13,2009-05-18,NULL,1
00543612,MXJ614071D,C0004,,admin,2014-01-10,2009-06-01,NULL,1
00543645,MXJ614089T,C0004,,admin,2014-01-10,0009-04-13,NULL,1
00546549,BJHQTF1,C0007,,admin,2014-01-10,0009-04-06,NULL,1
00546555,9F8QTF1,C0007,,admin,2014-01-10,0009-05-26,NULL,1
00546558,9QMRTF1,C0007,,admin,2014-01-10,0009-05-25,NULL,1
00547170,40VDTF1,C0005,,admin,2014-01-13,2009-07-14,NULL,1
00547350,537DTF1,C0005,,admin,2014-01-10,2009-06-01,NULL,1
00547392,227DTF1,C0005,,admin,2014-01-13,2009-06-23,NULL,1
00761653,MXJ00805TL,C0006,,admin,2014-01-10,0009-05-26,NULL,1
00761685,MXJ00809DC,C0006,,admin,2014-01-10,0011-05-12,NULL,1
00761705,MXJ008062K,C0006,,admin,2014-01-10,0011-05-12,NULL,1
00832375,MXJ001085Y,C0002,,admin,2014-01-10,0010-08-10,NULL,1
00832389,MXJ00108KR,C0002,,admin,2014-01-10,0010-08-10,NULL,1
00832461,MXJ001095Q,C0002,,admin,2014-01-10,0010-08-10,NULL,1
00832473,MXJ001085R,C0002,,admin,2014-01-10,0010-08-10,NULL,1
00832593,MXJ001047J,C0002,,admin,2014-01-13,2010-08-06,NULL,1
00832739,MXJ0010967,C0002,,admin,2014-01-10,0010-10-04,NULL,1
00832745,MXJ001086N,C0002,,admin,2014-01-10,0010-08-09,NULL,1
00832749,MXJ0010965,C0002,,admin,2014-01-10,0010-08-09,NULL,1
00832751,MXJ00108KX,C0002,,admin,2014-01-10,0010-08-09,NULL,1
00832753,MXJ0010855,C0002,,admin,2014-01-10,0010-08-09,NULL,1
00832769,MXJ001085H,C0002,,admin,2014-01-10,0011-05-12,NULL,1
00832881,MXJ00104C2,C0002,,admin,2014-01-13,2010-08-09,NULL,1
00848948,g67g6,C0002,,admin,2014-01-10,2014-01-09,NULL,2
00543513,MXJ61408CV,C0004,,admin,2014-01-09,0000-00-00,0000-00-00,1
00543522,MXJ61407SR,C0004,,admin,2014-01-09,0000-00-00,0000-00-00,1
00543537,MXJ614083V,C0004,,admin,2014-01-09,0000-00-00,0000-00-00,1
00543561,MXJ614078L,C0004,,admin,2014-01-09,0000-00-00,0000-00-00,1
00543585,MXJ6140851,C0003,,admin,2014-01-09,0000-00-00,0000-00-00,1
00543603,MXJ61408BY,C0004,,admin,2014-01-09,0000-00-00,0000-00-00,1
00543615,MXJ61407CZ,C0004,,admin,2014-01-09,0000-00-00,0000-00-00,1
00543621,MXJ614085F,C0004,,admin,2014-01-09,0000-00-00,0000-00-00,1
00543636,MXJ61408DK,C0004,,admin,2014-01-09,0000-00-00,0000-00-00,1
00543639,MXJ614079P,C0004,,admin,2014-01-09,0000-00-00,0000-00-00,1
00543711,MXJ614079R,C0004,,admin,2014-01-09,0000-00-00,0000-00-00,1
00543717,MXJ614076D,C0004,,admin,2014-01-09,0000-00-00,0000-00-00,1
00546573,FXCRTF1,C0007,,admin,2014-01-09,0000-00-00,0000-00-00,1
00546813,2CHQTF1,C0007,,admin,2014-01-09,0000-00-00,0000-00-00,1
00546816,5JHQTF1,C0007,,admin,2014-01-09,0000-00-00,0000-00-00,1
00547233,D2GDTF1,C0005,,admin,2014-01-09,0000-00-00,0000-00-00,1
00547287,137dtf1,C0005,,admin,2014-01-09,0000-00-00,0000-00-00,1
00547452,dccyoptiplex,C0005,,admin,2014-01-09,0000-00-00,0000-00-00,1
00761113,MXJ0080B0H  ,C0006,,admin,2014-01-09,0000-00-00,0000-00-00,1
00761122,MXJ00808Z0    ,C0006,,admin,2014-01-09,0000-00-00,0000-00-00,1
00761132,MXJ00801JM     ,C0006,,admin,2014-01-09,0000-00-00,0000-00-00,1
00761587,MXJ0080B09,C0006,,admin,2014-01-09,0000-00-00,0000-00-00,1
00761745,MXJ008082S,C0006,,admin,2014-01-09,0000-00-00,0000-00-00,1
00832355,MXJ00108L2,C0002,,admin,2014-01-09,0000-00-00,0000-00-00,1
00832371,MXJ00108L4,C0002,,admin,2014-01-09,0000-00-00,0000-00-00,1
00832395,MXJ00108KT,C0002,,admin,2014-01-09,0000-00-00,0000-00-00,1
00832399,MXJ00108KC,C0002,,admin,2014-01-09,0000-00-00,0000-00-00,1
00832479,MXJ00108K4,C0002,,admin,2014-01-09,0000-00-00,0000-00-00,1
00832483,MXJ0010869,C0002,,admin,2014-01-09,0000-00-00,0000-00-00,1
00832485,MXJ001086K,C0002,,admin,2014-01-09,0000-00-00,0000-00-00,1
00832493,MXJ001096C,C0002,,admin,2014-01-09,0000-00-00,0000-00-00,1
00832581,MXJ00104BP,C0002,,admin,2014-01-09,0000-00-00,0000-00-00,1
00832743,MXJ00108IM,C0002,,admin,2014-01-09,0000-00-00,0000-00-00,1
00832773,MXJ001085Q,C0002,,admin,2014-01-09,0000-00-00,0000-00-00,1
00832835,MXJ001048P,C0002,,admin,2014-01-09,0000-00-00,0000-00-00,1
00832949,,C0002,,admin,2014-01-09,0000-00-00,0000-00-00,2
00832949,CNC95284WR,C0002,,admin,2014-01-09,0000-00-00,0000-00-00,2
00832949,MXJ00104B1,C0002,,admin,2014-01-09,0000-00-00,0000-00-00,1
00832965,MXJ00104B9,C0002,,admin,2014-01-09,0000-00-00,0000-00-00,1
00832991,MX100104CN,C0002,,admin,2014-01-09,0000-00-00,0000-00-00,1
